id,weekId,position,type,title,url,note,author,creationDate,mediaType,promptText,estimatedMinutes
1,1,1,reading,Beyond Vibe Coding: A Guide to AI-Assisted Development,https://beyond.addy.ie/,The definitive guide from Google Engineering Leader on mastering the spectrum from rapid prototyping to production-ready AI-assisted engineering.,Addy Osmani,2024,Blog/Article,,45
2,1,2,reading,Cursor AI Tutorial for Beginners (YouTube),https://www.youtube.com/watch?v=gqUQbjsYZLQ,Comprehensive tutorial on using Cursor AI IDE for vibe coding. Covers setup and best practices and cursor rules configuration.,Greg Isenberg,2024,YouTube Video,,45
3,1,3,reading,Vibe Coding is Not the Same as AI-Assisted Engineering,https://medium.com/@addyosmani/vibe-coding-is-not-the-same-as-ai-assisted-engineering-3f81088d5b98,Critical distinction between casual AI prompting and disciplined AI-augmented workflows.,Addy Osmani,November 2025,Blog/Article,,20
4,1,4,reading,Vibe Coding in 2026: The Complete Guide to AI-Pair Programming,https://dev.to/pockit_tools/vibe-coding-in-2026-the-complete-guide-to-ai-pair-programming-that-actually-works-42de,Practical guide covering mental models and workflows and prompting techniques.,Pockit Tools,January 2026,Blog/Article,,30
5,1,5,reading,Awesome Vibe Coding Guide (GitHub),https://github.com/analyticalrohit/awesome-vibe-coding-guide,Community-curated best practices for efficient AI-assisted coding.,analyticalrohit,2025,Blog/Article,,25
6,1,6,reading,AI-Assisted Software Development and the Vibe Coding Debate,https://cybersecurityadvisors.network/2025/08/06/ai-assisted-software-development-and-the-vibe-coding-debate-by-nick-kelly/,Critical analysis of code quality risks in vibe coding.,Nick Kelly,August 2025,Blog/Article,,20
7,1,7,exercise,Audit Your AI Workflow Position,,Reflect on your current AI-assisted development practice and identify improvements.,,,,Write a 300-word self-assessment identifying 3 specific workflow improvements you will implement.,45
8,2,1,reading,The Developer Guide to Design Tokens and CSS Variables,https://penpot.app/blog/the-developers-guide-to-design-tokens-and-css-variables/,Foundational explainer on the difference between design tokens and CSS custom properties.,Penpot,December 2025,Blog/Article,,25
9,2,2,reading,Design Systems Handbook: Chapter 1 - Introducing Design Systems,https://www.designbetter.co/design-systems-handbook,Free handbook from InVision covering design system foundations. Chapter 1 explains why design systems matter and how they reduce design debt.,Marco Suarez and Jina Anne and Katie Sylor-Miller,2017,Book Chapter,,30
10,2,3,reading,Using Design Tokens as Variables: Best Practices,https://designtokens.substack.com/p/using-design-tokens-as-variables,Deep dive on implementing tokens in three layers: primitives to semantic aliases to component slots.,Design Tokens Newsletter,November 2025,Blog/Article,,30
11,2,4,reading,Design Tokens Naming Structure,https://medium.com/@brcsndr/you-dont-know-css-design-tokens-naming-structure-52add5d02682,Practical naming convention guide using Component-Variant-Kind-Modifier-Property structure.,Bryce Snyder,November 2023,Blog/Article,,15
12,2,5,reading,How to Use Tokens in Design Systems (LogRocket),https://blog.logrocket.com/ux-design/how-to-use-tokens-in-design-systems/,Figma-focused tutorial on creating design variables that export as tokens.,Daniel Schwarz,December 2024,Blog/Article,,25
13,2,6,reading,What Are Design Tokens? (CSS-Tricks),https://css-tricks.com/what-are-design-tokens/,Classic explainer on design tokens as platform-agnostic design decisions.,Robin Rendle,2019,Blog/Article,,15
14,2,7,reading,Design Tokens: Fundamental Building Blocks of Design Systems,https://www.telerik.com/blogs/design-tokens-fundamental-building-blocks-design-systems,Comprehensive guide with practical CSS variable examples.,Hassan Djirdeh,June 2024,Blog/Article,,20
15,2,8,exercise,Build Your Token Architecture,,Create a design token system for a micro-SaaS dashboard.,,,,Deliverables: JSON primitives file and semantic layer and CSS variables file with documentation.,90
16,3,1,reading,Design Systems And AI: Why MCP Servers Are The Unlock,https://www.figma.com/blog/design-systems-ai-mcp/,Figma official announcement of their MCP server.,Ana Boyer / Figma,2025,Blog/Article,,20
17,3,2,reading,Introduction to Figma Variables and Design Tokens (YouTube),https://www.youtube.com/watch?v=1ONxxlJnvdM,Official Figma tutorial on using variables for design tokens. Essential for understanding Figma-to-code workflows.,Figma,2023,YouTube Video,,20
18,3,3,reading,Dear LLM Here Is How My Design System Works,https://uxdesign.cc/dear-llm-heres-how-my-design-system-works-b59fb9a342b7,Practical guide on structuring Figma files for AI interpretation.,Oleksandra Huba,November 2025,Blog/Article,,25
19,3,4,reading,Building AI-Driven Workflows with Claude Code and Codex CLI,https://uxdesign.cc/designing-with-claude-code-and-codex-cli-building-ai-driven-workflows-powered-by-code-connect-ui-f10c136ec11f,Designer perspective on using agentic CLI tools with Figma MCP.,Iasonas Georgiadis,October 2025,Blog/Article,,30
20,3,5,reading,The Right Code for Your Design System: Introducing Code Connect,https://www.figma.com/blog/introducing-code-connect/,Official guide to Figma Code Connect feature.,Figma,2024,Blog/Article,,20
21,3,6,reading,From Figma to Production Code in 30 Minutes,https://dev.to/__8f10a1a58b86/from-figma-to-production-code-in-30-minutes-a-systematic-ai-assisted-workflow-2nee,Step-by-step workflow using shadcn/ui Figma kit.,DEV Community,August 2025,Blog/Article,,35
22,3,7,reading,Figma to Code: Using Your Design System with AI,https://www.builder.io/blog/figma-design-system-component-mapping,Tutorial on component mapping for AI.,Builder.io,September 2025,Blog/Article,,25
23,3,8,exercise,Configure Your MCP Workflow,,Set up a Figma-to-code workflow using MCP.,,,,Deliverables: Structured Figma file and design-system-rules.md and workflow documentation.,120
24,4,1,reading,Why AI Coding Tools Love shadcn/ui,https://www.shadcn.io/ui/why-ai-coding-tools-love-shadcn-ui,Why transparent component architecture beats black-box libraries for AI.,shadcn.io,2025,Blog/Article,,15
25,4,2,reading,Build a Complete App with shadcn/ui (YouTube),https://www.youtube.com/watch?v=7MKEOfSP2s4,Step-by-step tutorial building a production app with shadcn/ui and Tailwind CSS. Shows the transparent component architecture in action.,Theo Browne,2024,YouTube Video,,35
26,4,3,reading,shadcn/ui Official Documentation,https://ui.shadcn.com/,The official shadcn/ui documentation.,shadcn,2024,Blog/Article,,30
27,4,4,reading,Why Designers Should Care About Tailwind and shadcn,https://designedforhumans.tech/blog/why-should-designers-care-about-tailwind-and-shadcn-in-the-ai-era,Designer-focused guide on using Tailwind and shadcn.,Designed for Humans,November 2025,Blog/Article,,20
28,4,5,reading,How I Use Cursor (+ My Best Tips),https://www.builder.io/blog/cursor-tips,Practical Cursor IDE tips.,Builder.io,September 2025,Blog/Article,,25
29,4,6,reading,Cursor AI Complete Guide: MCPs and Rules and Context Engineering,https://medium.com/@hilalkara.dev/cursor-ai-complete-guide-2025-real-experiences-pro-tips-mcps-rules-context-engineering-6de1a776a8af,Comprehensive guide on context engineering.,Hilal Kara,August 2025,Blog/Article,,35
30,4,7,reading,14 Best React UI Component Libraries in 2026,https://www.untitledui.com/blog/react-component-libraries,Comparison of shadcn/ui and alternatives.,Untitled UI,December 2025,Blog/Article,,20
31,4,8,exercise,Build a Design-System-Aware Component,,Build a production-grade UI component using the full workflow.,,,,Deliverables: Figma design and shadcn/ui component and variants and reflection write-up.,150
32,5,1,reading,Large Language Model - Wikipedia,https://en.wikipedia.org/wiki/Large_language_model,Comprehensive overview of LLMs including architecture and training and evolution.,Wikipedia,2025,Blog/Article,,30
33,5,2,reading,But What Is a GPT? Visual Intro to Transformers (YouTube),https://www.youtube.com/watch?v=wjZofJX0v4M,3Blue1Brown visual explanation of transformer architecture and word embeddings. Makes complex concepts intuitive through beautiful animations.,3Blue1Brown (Grant Sanderson),2024,YouTube Video,,27
34,5,3,reading,A Brief History of LLMs: From Transformers to DeepSeek-R1,https://medium.com/@lmpo/a-brief-history-of-lmms-from-transformers-2017-to-deepseek-r1-2025-dae75dd3f59a,Traces the evolution from 2017 Transformer architecture through GPT and BERT and ChatGPT.,LM Po,November 2025,Blog/Article,,25
35,5,4,reading,Generative Pre-trained Transformer - Wikipedia,https://en.wikipedia.org/wiki/Generative_pre-trained_transformer,Deep dive into GPT architecture from GPT-1 through GPT-4o and reasoning models.,Wikipedia,2025,Blog/Article,,25
36,5,5,reading,Large Language Models 101: History Evolution and Future,https://www.scribbledata.io/blog/large-language-models-history-evolutions-and-future/,Covers the evolution from LSTM networks to transformers and sparse expert models.,Scribble Data,September 2025,Blog/Article,,30
37,5,6,reading,The History of Large Language Models,https://www.whaleflux.com/blog/the-history-of-large-language-models/,Comprehensive history from Dartmouth Conference to Claude 3 and DeepSeek R1.,WhaleFlux,August 2025,Blog/Article,,25
38,5,7,exercise,Map Your AI Knowledge,,Create a visual timeline of AI development from 2017 to present.,,,,Include key model releases with parameter counts and major capability breakthroughs and a 200-word reflection.,45
39,6,1,reading,Top 10 Vibe Coding Tools in 2026,https://www.nucamp.co/blog/top-10-vibe-coding-tools-in-2026-cursor-copilot-claude-code-more,Comprehensive comparison of AI coding assistants including Cursor and Copilot and Windsurf and Claude Code.,Nucamp,January 2026,Blog/Article,,35
40,6,2,reading,Attention in Transformers Visually Explained (YouTube),https://www.youtube.com/watch?v=eMlx5fFNoYc,3Blue1Brown deep dive into the attention mechanism that powers LLMs. Essential for understanding how AI models process context.,3Blue1Brown (Grant Sanderson),2024,YouTube Video,,26
41,6,3,reading,GitHub Copilot vs Cursor: AI Code Editor Review,https://www.digitalocean.com/resources/articles/github-copilot-vs-cursor,Detailed comparison of the two leading AI coding assistants with real-world use cases.,DigitalOcean,2025,Blog/Article,,30
42,6,4,reading,Programming with AI: Workflows for Claude and Copilot and Cursor,https://graphite.com/guides/programming-with-ai-workflows-claude-copilot-cursor,Practical workflow guide for integrating different AI assistants into development practice.,Graphite,2025,Blog/Article,,30
43,6,5,reading,AI-Assisted Coding in 2026: How GitHub Copilot and Cursor and Amazon Q Are Reshaping Developer Workflows,https://www.javacodegeeks.com/2025/12/ai-assisted-coding-in-2026-how-github-copilot-cursor-and-amazon-q-are-reshaping-developer-workflows.html,Analysis of how AI tools are changing development practices including security considerations.,Java Code Geeks,December 2025,Blog/Article,,25
44,6,6,reading,Cursor vs Copilot: Which AI Coding Tool is Best?,https://zapier.com/blog/cursor-vs-copilot/,Practical comparison focused on helping beginners choose the right tool.,Zapier,June 2025,Blog/Article,,20
45,6,7,exercise,AI Tool Evaluation,,Try at least 2 AI coding or writing tools for a small task.,,,,Create a comparison matrix covering ease of use and quality of output and speed and cost. Write a recommendation.,60
46,7,1,reading,AI Code Guide: A Roadmap to Start Coding with AI,https://github.com/automata/aicodeguide,Comprehensive guide covering the spectrum from AI as copilot to vibe coding with best practices.,automata,2025,Blog/Article,,40
47,7,2,reading,LLM Course: Chapter on Prompt Engineering,https://github.com/mlabonne/llm-course,Comprehensive open-source LLM course covering prompt engineering and fine-tuning and deployment. The prompt engineering section is essential for product builders.,Maxime Labonne,2024,Book Chapter,,45
48,7,3,reading,Beyond Vibe Coding: AI-Assisted Coding With Cursor and Opik,https://www.comet.com/site/blog/cursor-vibe-coding/,Explains the difference between vibe coding and AI-assisted coding with practical guidance.,Comet,September 2025,Blog/Article,,30
49,7,4,reading,A Beginners Guide to Coding with AI,https://www.microsoft.com/en-us/microsoft-copilot/for-individuals/do-more-with-ai/general-ai/a-beginners-guide-to-coding-with-ai/,Official Microsoft guide on using Copilot effectively including prompting best practices.,Microsoft,November 2025,Blog/Article,,20
50,7,5,reading,Cursor vs Copilot: Choosing the Best AI Coding Assistant,https://blog.promptlayer.com/cursor-vs-copilot-choosing-the-best-ai-coding-assistant/,Deep comparison covering model flexibility and context handling and real-world performance metrics.,PromptLayer,September 2025,Blog/Article,,25
51,7,6,exercise,Build with AI Assistance,,Build a simple tool or webpage using AI assistance.,,,,Document your prompts and what AI got right/wrong and how you iterated. Share your project and lessons learned.,90
52,8,1,reading,Large Language Models: Their History Capabilities and Limitations,https://snorkel.ai/large-language-models/,Comprehensive technical overview including embeddings and transformers and limitations like hallucination and bias.,Snorkel AI,January 2025,Blog/Article,,35
53,8,2,reading,ChatGPT Prompt Engineering for Developers (YouTube),https://www.youtube.com/watch?v=H4YK_7MAckk,DeepLearning.AI short course on prompt engineering best practices. Covers guidelines and iterative development and summarizing and inferring.,DeepLearning.AI (Andrew Ng and Isa Fulford),2023,YouTube Video,,60
54,8,3,reading,AI Evolution: What is a Large Language Model?,https://www.stjohns.edu/news-media/johnnies-blog/ai-evolution-what-large-language-model,Accessible explanation of LLMs including how attention mechanisms work and current challenges.,St. Johns University,2025,Blog/Article,,20
55,8,4,reading,The Evolution of LLM: From Early AI to Open-Source Innovation,https://www.loata.ai/blogs/123e4567-e89b-12d3-a456-426614174000,Covers the rise of open-source models like LLaMA and GPT-Neo and the future of real-time learning.,Loata AI,2025,Blog/Article,,25
56,8,5,reading,LLM Part-1: History of Language Modeling,https://medium.com/@utkarsh.mathur/llm-part-1-history-of-language-modeling-5f2f17e1a8b4,Technical deep dive into the evolution from statistical language models to modern LLMs with emergent abilities.,Utkarsh Mathur,May 2025,Blog/Article,,30
57,8,6,exercise,AI Product Concept,,Develop a concept for an AI-enhanced product.,,,,Include problem being solved and how AI capabilities address it and ethical considerations and potential limitations. Present as a 1-page product brief.,60
58,9,1,reading,The Constitution of the United States,https://www.archives.gov/founding-docs/constitution-transcript,The primary source document. Read the Preamble and Articles I-III establishing the three branches.,National Archives,1787,Blog/Article,,45
59,9,2,reading,Crash Course Government #1: Introduction (YouTube),https://www.youtube.com/watch?v=lrk4oY7UxpQ,Engaging introduction to US Government and Politics. Covers why government exists and different forms of government and the role of citizens.,Crash Course (Craig Benzine),2015,YouTube Video,,9
60,9,3,reading,Introduction to the Constitution,https://www.law.cornell.edu/constitution,Cornell Law School annotated Constitution with explanations of key clauses and their interpretations.,Cornell Law School,2024,Blog/Article,,30
61,9,4,reading,Federalism in the United States,https://en.wikipedia.org/wiki/Federalism_in_the_United_States,Understanding the division of power between federal and state governments.,Wikipedia,2025,Blog/Article,,25
62,9,5,reading,Separation of Powers,https://www.whitehouse.gov/about-the-white-house/our-government/,Official White House explainer on how the three branches work together and check each other.,The White House,2024,Blog/Article,,20
63,9,6,reading,Civic Education Resources,https://www.civiced.org/,Center for Civic Education resources including the We the People program materials.,Center for Civic Education,2024,Blog/Article,,30
64,9,7,exercise,Constitutional Analysis,,Select one of the first 10 amendments (Bill of Rights) and analyze it.,,,,Research why the founders included it and a landmark Supreme Court case and how it affects your daily life. Write a 400-word analysis.,60
65,10,1,reading,How Laws Are Made,https://www.usa.gov/how-laws-are-made,Step-by-step guide to the legislative process from bill introduction to presidential signature.,USA.gov,2024,Blog/Article,,25
66,10,2,reading,Crash Course Government #5: Constitutional Compromises (YouTube),https://www.youtube.com/watch?v=kCCmuftyj8A,Covers the failures of the Articles of Confederation and the compromises that shaped the Constitution including the Great Compromise and Three-Fifths Compromise.,Crash Course (Craig Benzine),2015,YouTube Video,,9
67,10,3,reading,The Executive Branch,https://www.whitehouse.gov/about-the-white-house/the-executive-branch/,Overview of the presidency and cabinet and executive agencies.,The White House,2024,Blog/Article,,20
68,10,4,reading,About the Supreme Court,https://www.supremecourt.gov/about/about.aspx,Official Supreme Court information on its role and procedures and history.,Supreme Court of the United States,2024,Blog/Article,,20
69,10,5,reading,Checks and Balances,https://en.wikipedia.org/wiki/Checks_and_balances,Detailed explanation of how each branch can limit the powers of the others.,Wikipedia,2025,Blog/Article,,25
70,10,6,reading,Congress.gov - Learn About the Legislative Process,https://www.congress.gov/legislative-process,Official resource on how Congress works with current legislation tracking.,Library of Congress,2024,Blog/Article,,30
71,10,7,exercise,Track a Bill,,Go to Congress.gov and find a bill currently in Congress on a topic you care about.,,,,Document what the bill proposes and current status and key sponsors and arguments for and against. Write a 300-word summary.,45
72,11,1,reading,The Bill of Rights,https://www.archives.gov/founding-docs/bill-of-rights-transcript,Read the first 10 amendments with context on why each was included.,National Archives,1791,Blog/Article,,30
73,11,2,reading,Crash Course Government #11: Presidential Power (YouTube),https://www.youtube.com/watch?v=5l02sK5LovI,Examines the expressed powers of the President in the Constitution from appointing judges to vetoing laws to foreign policy.,Crash Course (Craig Benzine),2015,YouTube Video,,7
74,11,3,reading,Civil Liberties and Civil Rights,https://en.wikipedia.org/wiki/Civil_liberties_in_the_United_States,Understanding the difference between civil liberties (freedoms from government) and civil rights (equality guarantees).,Wikipedia,2025,Blog/Article,,25
75,11,4,reading,Landmark Supreme Court Cases,https://www.oyez.org/,Oyez provides accessible audio and summaries of important Supreme Court decisions shaping American rights.,Oyez (Chicago-Kent),2024,Blog/Article,,35
76,11,5,reading,U.S. Citizenship and Immigration Services,https://www.uscis.gov/citizenship/learn-about-citizenship,Official resources on what citizenship means including the naturalization test civics questions.,USCIS,2024,Blog/Article,,20
77,11,6,exercise,Rights in Action,,Take the official USCIS naturalization civics practice test.,,,,Then choose one right from the Bill of Rights and find a recent news story where it was invoked. Analyze how the right was applied.,45
78,12,1,reading,What Is Civic Engagement?,https://www.thepolicycircle.org/briefs/civic-engagement/,Comprehensive overview of ways citizens can participate in democracy beyond voting.,The Policy Circle,2024,Blog/Article,,25
79,12,2,reading,We the People: The Citizen and the Constitution (Chapter on Civic Participation),https://www.civiced.org/resources/curriculum/we-the-people,Center for Civic Education curriculum on how citizens can participate in democracy. Focuses on the importance and methods of civic engagement.,Center for Civic Education,2024,Book Chapter,,40
80,12,3,reading,How to Inspire Civic Action,https://www.escribemeetings.com/blog/civic-action/,Step-by-step guide to community organizing and advocacy and creating change at the local level.,eScribe,August 2024,Blog/Article,,20
81,12,4,reading,Civic Engagement Examples: 8 Ways to Get Involved,https://www.change.org/l/us/civic-engagement-examples,Practical examples from petitions to local boards to fundraising for causes you care about.,Change.org,2024,Blog/Article,,20
82,12,5,reading,Community Organizing and Grassroots Movements for Change,https://www.insidehighered.com/opinion/columns/higher-ed-gamma/2025/02/28/community-organizing-and-grassroots-movements-change,How ordinary citizens have driven major social transformations through collective action.,Inside Higher Ed,February 2025,Blog/Article,,25
83,12,6,reading,The Power of Grassroots Movements in Political Change,https://goodparty.org/blog/article/grassroots-movement,Explains how grassroots organizing builds democracy through citizen engagement and accountability.,GoodParty.org,May 2023,Blog/Article,,20
84,12,7,reading,Civic Nation,https://civicnation.org/,Explore programs like When We All Vote and All In Campus Democracy Challenge for practical civic engagement.,Civic Nation,2024,Blog/Article,,15
85,12,8,exercise,Create Your Civic Action Plan,,Identify an issue in your community you want to address.,,,,Create a 4-week action plan with research and stakeholders and 3 concrete actions and success metrics. Begin implementing at least one action this week.,90
86,13,1,reading,Beginning Graphic Design: Typography,https://edu.gcfglobal.org/en/beginning-graphic-design/typography/1/,Beginner-friendly introduction to serif and sans-serif and display fonts and basic typographic concepts.,GCFGlobal,2024,Blog/Article,,25
87,13,2,reading,Typography Fundamentals with Chris Do (YouTube),https://www.youtube.com/watch?v=QrNi9FmdlxY,The Futur foundational typography lesson covering contrast and scale and repetition and composition. Essential for understanding type as a design tool.,The Futur (Chris Do),2019,YouTube Video,,42
88,13,3,reading,A Beginners Guide to Typography,https://www.zekagraphic.com/typography-design-beginner-guide/,Covers typeface vs font and typography in branding and practical tools for beginners.,Zeka Design,June 2025,Blog/Article,,30
89,13,4,reading,Ultimate Guide to Typography in Design,https://www.figma.com/resource-library/typography-in-design/,Figmas comprehensive guide covering typeface selection and hierarchy and alignment and readability.,Figma,2024,Blog/Article,,35
90,13,5,reading,Typography: What Is It? The Complete Guide,https://careerfoundry.com/en/blog/ui-design/beginners-guide-to-typography/,Covers the 8 essential typographic design elements and best practices for UI design.,CareerFoundry,May 2023,Blog/Article,,30
91,13,6,reading,Typography Design 101: A Guide to Rules and Terms,https://99designs.com/blog/tips/typography-design/,From Gutenberg to today covers typography rules and anatomy of letters and practical application.,99designs,April 2023,Blog/Article,,25
92,13,7,exercise,Typography Hierarchy Project,,Design a single-page flyer for an event using only typography.,,,,Create clear hierarchy with headline and subheading and body text and details. Use no more than 2 typefaces. Submit with annotations.,60
93,14,1,reading,Color Theory: A Complete Guide for Artists and Designers,https://www.sessions.edu/notes-on-design/a-guide-to-color-theory/,Fundamentals from the color wheel to RGB/CMYK and harmony principles and practical application.,Sessions College,February 2025,Blog/Article,,30
94,14,2,reading,Color Theory for Noobs (YouTube),https://www.youtube.com/watch?v=AvgCkHrcj8w,Beginner-friendly color theory tutorial covering the color wheel and harmonies and practical application in design projects.,GCFLearnFree,2018,YouTube Video,,5
95,14,3,reading,Color Theory for Designers: Full Guide,https://arounda.agency/blog/color-theory-for-designers-full-guide,Covers color properties and harmonious combinations and the power of color in design.,Arounda,July 2025,Blog/Article,,25
96,14,4,reading,Color Theory for Designers: A Crash Course,https://www.toptal.com/designers/visual/color-theory-for-designers,Field guide with infographic covering color psychology and harmonies and making quick color choices.,Toptal,May 2024,Blog/Article,,35
97,14,5,reading,Color Theory in Web Design: A Complete Guide,https://elementor.com/blog/color-theory-web-design/,Web-focused guide including color psychology and accessibility and creating effective palettes.,Elementor,August 2020,Blog/Article,,30
98,14,6,reading,Color Theory for Designers: A Beginners Guide,https://webflow.com/blog/color-theory,Webflows guide covering vocabulary and the color wheel and schemes and practical application.,Webflow,April 2025,Blog/Article,,25
99,14,7,exercise,Create a Color Palette,,Design 3 different color palettes for the same brand.,,,,Create complementary and analogous and triadic schemes. Include hex codes and explain the mood each creates. Present with sample UI mockups.,60
100,15,1,reading,Typography Design Concepts Every Designer Needs to Know,https://www.creativebloq.com/typography/what-is-typography-123652,Covers measure and hierarchy and how typography creates effective layouts.,Creative Bloq,September 2024,Blog/Article,,25
101,15,2,reading,Universal Principles of Design: Layout and Composition,https://www.amazon.com/Universal-Principles-Design-Revised-Updated/dp/1592535879,Classic design reference book. Focus on the grid systems and visual hierarchy and alignment principles sections for layout mastery.,William Lidwell and Kritina Holden and Jill Butler,2010,Book Chapter,,45
102,15,3,reading,Typography in Design: Key Concepts and Principles,https://typetype.org/blog/what-is-typography-in-graphic-design-key-concepts-principles-and-examples/,Covers font pairing and leading and modular grids and how typography affects layout.,TypeType,October 2025,Blog/Article,,30
103,15,4,reading,Typography for Beginners: Start from Basics,https://www.ikagency.com/graphic-design-typography/typography-for-beginners/,Guide covering font anatomy and spacing techniques and hierarchy principles and layout application.,IK Agency,July 2024,Blog/Article,,25
104,15,5,reading,The Complete Guide to Typography Design,https://www.andacademy.com/resources/blog/graphic-design/what-is-typography-design/,Covers alignment and values and saturation and how typography fits into overall design.,AND Academy,February 2025,Blog/Article,,30
105,15,6,reading,Color Theory for Beginners: Step-by-Step Guide,https://618media.com/en/blog/color-theory-for-beginners/,Primary and secondary and tertiary colors plus color harmony and psychology in layout.,618 Media,March 2024,Blog/Article,,25
106,15,7,exercise,Layout Grid Exercise,,Create a 3-column grid layout for a blog homepage.,,,,Include header and featured article and article cards and footer. Annotate your design showing the grid structure and gutters and alignment.,60
107,16,1,reading,A Guide to Color Theory in Graphic Design,https://www.park.edu/blog/a-guide-to-color-theory-in-graphic-design/,How color theory applies to graphic design with examples of color harmonies in practice.,Park University,May 2025,Blog/Article,,25
108,16,2,reading,4 Principles of Visual Design (YouTube),https://www.youtube.com/watch?v=ZK86XQ1iFVs,Design fundamentals covering proximity and alignment and repetition and contrast (PARC). Demonstrates how these principles work together.,The Futur,2020,YouTube Video,,15
109,16,3,reading,Color Theory: Brief Guide for Designers,https://blog.tubikstudio.com/color-theory-brief-guide-for-designers/,Color wheel and RGB/CMYK and models of color harmony in UI design context.,Tubik Studio,March 2017,Blog/Article,,25
110,16,4,reading,The Complete Guide to Color Theory and Its Application,https://digitalarcane.com/complete-guide-to-color-theory-beginners-2024/,Comprehensive 2024 guide covering branding and interior design and digital applications.,Digital Arcane,January 2024,Blog/Article,,30
111,16,5,reading,Learn Typography Fundamentals,https://www.thefutur.com/content/learn-typography,The Futurs professional typography course overview covering the four-part design fundamentals approach.,The Futur,2024,Blog/Article,,20
112,16,6,reading,Colour Theory for Graphic Designers,https://adgenix.io/learning/colour-theory-for-graphic-designers/,Science and art of color theory with focus on CMYK for print and RGB for digital.,Adgenix,January 2024,Blog/Article,,20
